ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Meta: _ct_selectsizeguide","Meta: wc_masonry_product_size","Meta: enable_builder","Meta: single_style","Meta: wc_product_video","Meta: _show_countdown","Meta: _file_format","Meta: _file_type","Meta: slide_template","Meta: _wpb_vc_js_status","Meta: snp_p_welcome_popup","Meta: snp_p_exit_popup","Meta: _product_url","Meta: _button_text","Meta: _min_variation_price","Meta: _max_variation_price","Meta: _min_price_variation_id","Meta: _max_price_variation_id","Meta: _min_variation_regular_price","Meta: _max_variation_regular_price","Meta: _min_regular_price_variation_id","Meta: _max_regular_price_variation_id","Meta: _min_variation_sale_price","Meta: _max_variation_sale_price","Meta: _min_sale_price_variation_id","Meta: _max_sale_price_variation_id"
165,simple,Citiz-01,"Flex Automotive Bagless",1,0,visible,"Black &amp; Decker Flex Automotive Bagless Hand Vac: Clean dirt, crumbs and debris out of your car with this vacuum's powerful cyclonic action. The motor-in-the-filter design is extra compact, and the crevice tool and flip-up brush add versatility.","Pet: No
Corded/Cordless: Corded
Bagless: Yes
Carpet Height Adjustments: No
Filter Type: Pleated
Hypoallergenic: No
Multi Surface: Yes
Attachments IncludedLong crevice tool, flip-up brush
Crevice Tool: Yes",,,taxable,,1,,0,0,,,,,1,,,44.99,"Automotive &amp; Parts",,,"http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/4.1.1.jpg, http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/4.1.2.jpg",,,,,,,,,0,Model,BDH1200FVAV,1,1,Brands,Greeks,1,1,#NONE#,wc-small-square,0,0,file,no,,,default,false,,,,,,,,,,,,,,,,
176,simple,Citiz-02,"Scosche - USB Vehicle Charger",1,0,visible,"<div class=""feature"">
<h5>Compatible with most USB-enabled devices</h5>
Including most Apple iPhone, iPod and iPad models and select Android devices, tablets and action cameras.

</div>
<div class=""feature"">
<h5>12W maximum output</h5>
Along with 2.4 amps allows you to charge your device quickly while you drive

</div>","Warranty Terms - Parts: 1 year
Warranty Terms - Labor: 1 year
Height: 1.2 inches
Width: 1.2 inches
Depth: 2 inches
Weight: 0.07 pounds
Product Name: reVOLT USB Vehicle Charger
Brand: Scosche",,,taxable,,1,,0,0,,,,,1,,,129.99,"Automotive &amp; Parts",,,"http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/4.2.1.jpg, http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/4.2.2.jpg",,,,,,,,,0,Model,USBC121M,1,1,Brands,Scosche,1,1,#NONE#,wc-small-square,0,0,file,no,,,,false,,,,,,,,,,,,,,,,
192,simple,Citiz-04,"iOttie - Vehicle Mount",1,0,visible,"<div class=""feature"">
<div class=""feature"">
<h5>Compatible with most cell phones with 2.3 inches to 3.2 inches wide</h5>
Including AppleiPhone 6 Plus/6/5s/5c/5/4s; Samsung Galaxy S5/S4/S3/S2; Samsung Galaxy Note 2/3/4; HTC One M8; Google Nexus 5/4; LG G2/G3; Droid RAZR MAXX.

</div>
<div class=""feature"">
<h5>Easy one touch mounting system</h5>
Makes it easy to lock and release your device in the mount with the tap of a finger.

</div>
</div>","Parts: 1 Year
Labor: 1 Year
Color: Black
Model: HLCRIO121
Height: 3 inches
Width: 1.5 inches
Depth: 6 inches
Weight: 0.7 ounces",,,taxable,,1,,0,0,,,,,1,,,19.99,"Automotive &amp; Parts",,,"http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/4.3.1.jpg, http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/4.3.2.jpg",,,,,,,,,0,Model,HLCRIO121,1,1,Brands,iOttie,1,1,#NONE#,wc-small-square,0,0,file,no,,,,false,,,,,,,,,,,,,,,,
193,simple,Citiz-03,"Motorcycle Vader Street Helmet",1,0,visible,"<div class=""feature"">
<div class=""feature"">
<div id=""dpFastTrack_feature_div"" class=""feature"" data-feature-name=""dpFastTrack""></div>
<div id=""shipsFromSoldBy_feature_div"" class=""feature"" data-feature-name=""shipsFromSoldBy""></div>
<div id=""featurebullets_feature_div"" class=""feature"" data-feature-name=""featurebullets"">
<div id=""feature-bullets"" class=""a-section a-spacing-medium a-spacing-top-small"">
<ul class=""a-vertical a-spacing-none"">
 <li><span class=""a-list-item"">Cool Design of a Half Helmet with added face protection.</span></li>
 <li><span class=""a-list-item"">Adjustable Muzzle (Metric Clip)   Nylon Chin Strap.</span></li>
 <li><span class=""a-list-item"">Soft Premium Padding, Removable/Washable.</span></li>
 <li><span class=""a-list-item"">ABS Thermoplastic Resin Shell. Lightweight Impact Absorbent Materials.</span></li>
 <li><span class=""a-list-item"">Meets DOT FMVSS 218 Approved for US Safety Standard.</span></li>
</ul>
</div>
</div>
</div>
</div>","<ul class=""a-vertical a-spacing-none"">
 <li><span class=""a-list-item"">Cool Design of a Half Helmet with added face protection.</span></li>
 <li><span class=""a-list-item"">Adjustable Muzzle (Metric Clip)   Nylon Chin Strap.</span></li>
 <li><span class=""a-list-item"">Soft Premium Padding, Removable/Washable.</span></li>
 <li><span class=""a-list-item"">ABS Thermoplastic Resin Shell. Lightweight Impact Absorbent Materials.</span></li>
 <li><span class=""a-list-item"">Meets DOT FMVSS 218 Approved for US Safety Standard.</span></li>
</ul>",,,taxable,,1,,0,0,,,,,1,,,60.99,"Automotive &amp; Parts",,,"http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/4.5.1.jpg, http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/4.5.2.jpg",,,,,,,,,0,Model,"Shiny Black",1,1,Brands,MMG,1,1,#NONE#,wc-small-square,0,0,file,no,,,default,false,,,,,,,,,,,,,,,,
194,simple,Citiz-05,"Universal Water Resistant Bluetooth",1,0,visible,"<div class=""feature"">
<div class=""feature"">
<div id=""dpFastTrack_feature_div"" class=""feature"" data-feature-name=""dpFastTrack"">
<ul class=""a-vertical a-spacing-none"">
 <li><span class=""a-list-item"">?Premium Water Resistant : Bluetooth Intercoms are suitable for motorcyclists and skiers in the raining or snowing day.</span></li>
 <li><span class=""a-list-item"">?Bluetooth intercom:Can talk via Bluetooth intercom function with your 2 or 3 partners freely. (but only 2 riders intercom at the same time) in 600-1000m distance.</span></li>
 <li><span class=""a-list-item"">?Advanced Noise Control technology : Cuts down on background noise for both incoming and outgoing audio. and Universal Intercom protocol for cross-brand intercom compatibility.</span></li>
 <li><span class=""a-list-item"">?Walkie Talkie Connection: Built-in 2.5mm audio socket, you can connect to your Walkie Talkie with a suitable cable (the walkie-talkie and the cable is NOT provided) , now you can talk with 4 or more rider mates who also have walkie talkie, the voice will be transferred via earpiece and micro phone of Bluetooth motorcycle helmet intercom. (For the rider quantity supported, it depends on the walkie talkie itself)</span></li>
 <li><span class=""a-list-item"">?Supports:2.5mm Audio Socket, Hands free &amp; FM radio, GPS Voice Navigation, Bluetooth Hands Free, Wireless Streaming Music(A2DP</span></li>
</ul>
</div>
</div>
</div>","<ul class=""a-vertical a-spacing-none"">
 <li><span class=""a-list-item"">?Premium Water Resistant : Bluetooth Intercoms are suitable for motorcyclists and skiers in the raining or snowing day.</span></li>
 <li><span class=""a-list-item"">?Bluetooth intercom:Can talk via Bluetooth intercom function with your 2 or 3 partners freely. (but only 2 riders intercom at the same time) in 600-1000m distance.</span></li>
 <li><span class=""a-list-item"">?Advanced Noise Control technology : Cuts down on background noise for both incoming and outgoing audio. and Universal Intercom protocol for cross-brand intercom compatibility.</span></li>
 <li><span class=""a-list-item"">?Walkie Talkie Connection: Built-in 2.5mm audio socket, you can connect to your Walkie Talkie with a suitable cable (the walkie-talkie and the cable is NOT provided) , now you can talk with 4 or more rider mates who also have walkie talkie, the voice will be transferred via earpiece and micro phone of Bluetooth motorcycle helmet intercom. (For the rider quantity supported, it depends on the walkie talkie itself)</span></li>
 <li><span class=""a-list-item"">?Supports:2.5mm Audio Socket, Hands free &amp; FM radio, GPS Voice Navigation, Bluetooth Hands Free, Wireless Streaming Music(A2DP</span></li>
</ul>",,,taxable,,1,,0,0,,,,,1,,,49.99,"Automotive &amp; Parts",,,"http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/4.7.2.jpg, http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/4.7.1.jpg",,,,,,,,,0,Model,"Yideng 1",1,1,Brands,Prime,1,1,#NONE#,wc-small-square,0,0,file,no,,,default,false,,,,,,,,,,,,,,,,
195,simple,Citiz-06,"3/4 Retro Open Face Helmet",1,0,visible,"<div class=""feature"">
<div class=""feature"">
<div id=""dpFastTrack_feature_div"" class=""feature"" data-feature-name=""dpFastTrack"">
<ul class=""a-vertical a-spacing-none"">
 <li><span class=""a-list-item"">Open Face Helmet. DOT Approved.</span></li>
 <li><span class=""a-list-item"">Multi Density EPS liner.</span></li>
 <li><span class=""a-list-item"">Soft laser cut padding, dry comfort with hygienic treatment.</span></li>
 <li><span class=""a-list-item"">Fully removable, washable and anti-bacterial interior liner.</span></li>
 <li><span class=""a-list-item"">Padded chin strap with D-ring closure.</span></li>
</ul>
</div>
</div>
</div>","<ul class=""a-vertical a-spacing-none"">
 <li><span class=""a-list-item"">Open Face Helmet. DOT Approved.</span></li>
 <li><span class=""a-list-item"">Multi Density EPS liner.</span></li>
 <li><span class=""a-list-item"">Soft laser cut padding, dry comfort with hygienic treatment.</span></li>
 <li><span class=""a-list-item"">Fully removable, washable and anti-bacterial interior liner.</span></li>
 <li><span class=""a-list-item"">Padded chin strap with D-ring closure.</span></li>
</ul>",,,taxable,,1,,0,0,,,,,1,,,35.99,"Automotive &amp; Parts",,,"http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/4.8.1.jpg, http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/4.8.2.jpg",,,,,,,,,0,,,,,,,,,#NONE#,wc-small-square,0,0,file,no,,,default,false,,,,,,,,,,,,,,,,
196,simple,Citiz-07,"GT-7 Radar Detector",1,0,visible,"Stay informed while driving with this Beltronics GT-7 0150017-1 radar detector, which features real-time notifications via the ticket protection app. Voice alerts make it easy to receive notifications while keeping your eyes on the road.","<ul class=""a-vertical a-spacing-none"">
 <li>
<div class=""feature"">
<h5>Compatible with most vehicles</h5>
For easy traffic alerts.

</div>
<div class=""feature"">
<h5>Digital Signal Processing (DSP) microprocessor</h5>
Differentiates between real and false alerts to maintain accurate information.

</div>
<div class=""feature"">
<h5>GPS technology</h5>
Tracks your location to give location-specific alerts and learns your daily route to eliminate false alarms.

</div>
<div class=""feature"">
<h5>Real-time notifications</h5>
Keep you informed of speed limits and red light cameras, and help you avoid tickets in speed traps with the app (download required).

</div>
<div class=""feature""></div>
<div class=""feature""></div></li>
</ul>",,,taxable,,1,,0,0,,,,,1,,,427.99,"Automotive &amp; Parts",,,"http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/4.4.1.jpg, http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/4.4.2.jpg",,,,,,,,,0,Brands,Beltronics,1,1,Model,0150017-1,1,1,#NONE#,wc-small-square,0,0,file,no,,,default,false,,,,,,,,,,,,,,,,
197,simple,Citiz-08,"Cruiser Scooter Touring Helmet",1,0,visible,"<ul>
 <li>It is consisted of goggle   ear muffle   helmet</li>
 <li>The size of helmet is 56(22 inch) ~ 58cm(22.8 inch)</li>
 <li>Conveniently detachable 4 season ear muffle</li>
 <li>Using a convenient chin strap one touch buckle</li>
</ul>","It is consisted of goggle   ear muffle   helmet
The size of helmet is 56(22 inch) ~ 58cm(22.8 inch)
Conveniently detachable 4 season ear muffle
Using a convenient chin strap one touch buckle",,,taxable,,1,,0,0,,,,,1,,,53.90,"Automotive &amp; Parts",,,"http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/4.6.1.jpg, http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/4.6.2.jpg",,,,,,,,,0,Brands,Amazon,1,1,Model,0150017-1,1,1,#NONE#,wc-small-square,0,0,file,no,,,default,false,,,,,,,,,,,,,,,,
198,simple,CitizBeauty01,"Exfoliating Body Scrub",1,0,visible,"Best ORGANIC Exfoliating Body Scrub - ""COOLING CUCUMBER"" - 100% Pure Dead Sea Salt Scrub / Ultra Hydrating &amp; Moisturizing with SKIN SMOOTHING Jojoba, Sweet Almond &amp; Argan Oils - 12oz","<div id=""fbExpandableSectionContent"" class=""a-section a-spacing-none expandableSection"">
<ul class=""a-vertical a-spacing-none collapsedFeatureBullets"">
 <li class=""showHiddenFeatureBullets""><span class=""a-list-item"">ACHIEVE AMAZINGLY SOFT, SMOOTH, BEAUTIFUL SKIN: Not just a great body scrub but proven skin therapy too - we blend in Aloe Vera and skin loving oils of Jojoba, Argan, and Sweet Almond that detoxifies, hydrates and moisturizes your skin leaving it ultra soft, smooth and beautiful!</span></li>
 <li class=""showHiddenFeatureBullets""><span class=""a-list-item"">GENTLE, HEALING EXFOLIATION - BUFF AWAY OLD, DRY, DEAD SKIN: Over 20  healing minerals in dead sea salt make this an excellent natural exfoliator and skin polisher. Our 100% pure dead sea salt is grounded FINE providing gentle but highly effective exfoliation. Your skin will turn silky smooth as dead skins cells are massaged away.</span></li>
 <li class=""showHiddenFeatureBullets""><span class=""a-list-item"">COMBAT NASTY SKIN CONDITIONS: We wanted to formulate scrub that goes beyond just exfoliation. The cleansing effect of this unique blend of dead sea salt, organic essential oils and skin loving nutrients are ideal to combat against blocked pores, blackheads, in-grown hairs and blemishes that will help leave your skin visibly brightened. Perfect for an overall deep clean that helps fight acne, age spots, psoriasis and eczema. Probably one of the MOST EFFECTIVE SCRUBS you will ever use.</span></li>
 <li class=""showHiddenFeatureBullets""><span class=""a-list-item"">SPA QUALITY / ALL NATURAL INGREDIENTS Carefully hand blended with organic essential oils, skin smoothing enhancers and the undeniable exfoliating power of pure, fine grain Dead Sea Salts. NOTHING ARTIFICIAL: NO chemicals, NO GMOs, NO Gluten, NO preservatives, NO perfumes, NO fragrances, NO parabens, NO alcohol, NO dyes, NO animal fats, NO petroleum - NONE of the bad stuff!</span></li>
 <li class=""showHiddenFeatureBullets""><span class=""a-list-item"">TRY IT AT OUR EXPENSE! We are so confident you will love this ""Cooling Cucumber"" body scrub that we provide a FULL REFUND - No Questions Asked policy. So give it a try - this uniquely formulated dead sea salt scrub will exfoliate, nourish, &amp; soften your precious skin. (It also smells absolutely delicious!!)</span></li>
</ul>
</div>",,,taxable,,1,,0,0,,,,,1,,,21.80,"Beauty &amp; Health",,,"http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/11.8.1.jpg, http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/11.8.2.jpg",,,,,,,,,0,,,,,,,,,#NONE#,wc-small-square,0,0,file,no,,,default,false,,,,,,,,,,,,,,,,
215,simple,CitizBeauty02,"Deep Organic Conditioner",1,0,visible,"#1 Best Deep Organic Conditioner with Tea Tree Oil, Argan Oil and Coconut Oil 3-in-1 Formula by Keeva - 100% Natural Ingredients - Perfect for Moisturizing Damaged, Dry, Curly, Color Treated Hair","<div id=""fbExpandableSectionContent"" class=""a-section a-spacing-none expandableSection"">
<ul class=""a-vertical a-spacing-none collapsedFeatureBullets"">
 <li class=""showHiddenFeatureBullets""><span class=""a-list-item"">ACHIEVE AMAZINGLY SOFT, SMOOTH, BEAUTIFUL SKIN: Not just a great body scrub but proven skin therapy too - we blend in Aloe Vera and skin loving oils of Jojoba, Argan, and Sweet Almond that detoxifies, hydrates and moisturizes your skin leaving it ultra soft, smooth and beautiful!</span></li>
 <li class=""showHiddenFeatureBullets""><span class=""a-list-item"">GENTLE, HEALING EXFOLIATION - BUFF AWAY OLD, DRY, DEAD SKIN: Over 20  healing minerals in dead sea salt make this an excellent natural exfoliator and skin polisher. Our 100% pure dead sea salt is grounded FINE providing gentle but highly effective exfoliation. Your skin will turn silky smooth as dead skins cells are massaged away.</span></li>
</ul>
</div>",,,taxable,,1,,0,0,,,,,1,,,23.97,"Beauty &amp; Health",,,"http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/11.7.1.jpg, http://nitro.woorockets.com/niche-20/wp-content/uploads/2016/12/11.7.2.jpg",,,,,,,,,0,,,,,,,,,#NONE#,wc-small-square,0,0,file,no,,,default,false,,,,,,,,,,,,,,,,
